"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","173","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","2374","Проверяем флоу позитивного сценария заказа самоката","tests","2026-09-02","passed","2026-09-02","TestOrderPage","test_order_page","",""
"","2569","Проверяем флоу позитивного сценария заказа самоката","tests","2026-09-02","passed","2026-09-02","TestOrderPage","test_order_page","",""
"","765","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","134","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","110","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","140","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","206","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
"","121","Проверяем тексты ответов на вопросы в разделе «Вопросы о важном»","tests","2026-09-02","passed","2026-09-02","TestMainPage","test_main_page","",""
